Pack_Number,Pack_Title,Difficulty_Act,Chinese_Base_Words,Chinese_Example_Words,Chinese_Combined_Words
61,Money & Payments,Act IV: Mastery,"[钱,价格,费用,优惠,现金,刷卡,支付,付款,零钱,找钱,发票,收据,消费,花费,开销]","[多少钱,给钱,价格高,看价格,费用多,付费用,有优惠,给优惠,付现金,用现金,可以刷卡,用刷卡,支付宝,去支付,去付款,已付款,有零钱,换零钱,找钱给你,不用找钱,开发票,要发票,要收据,给收据,消费高,去消费,花费大,有花费,开销大,减少开销]","[钱,价格,费用,优惠,现金,刷卡,支付,付款,零钱,找钱,发票,收据,消费,花费,开销,多少钱,给钱,价格高,看价格,费用多,付费用,有优惠,给优惠,付现金,用现金,可以刷卡,用刷卡,支付宝,去支付,去付款,已付款,有零钱,换零钱,找钱给你,不用找钱,开发票,要发票,要收据,给收据,消费高,去消费,花费大,有花费,开销大,减少开销]"
62,At the Restaurant,Act IV: Mastery,"[菜单,点菜,推荐,招牌菜,味道,服务员,买单,结账,打包,外卖,堂食,包间,餐具,筷子,上菜,订座]","[看菜单,拿菜单,要点菜,来点菜,有推荐,请推荐,这是招牌菜,点招牌菜,味道好,尝味道,叫服务员,找服务员,要买单,来买单,要结账,去结账,要打包,帮我打包,点外卖,送外卖,选堂食,要堂食,订包间,有包间,拿餐具,用餐具,拿筷子,用筷子,上菜了,快上菜,要订座,已订座]","[菜单,点菜,推荐,招牌菜,味道,服务员,买单,结账,打包,外卖,堂食,包间,餐具,筷子,上菜,订座,看菜单,拿菜单,要点菜,来点菜,有推荐,请推荐,这是招牌菜,点招牌菜,味道好,尝味道,叫服务员,找服务员,要买单,来买单,要结账,去结账,要打包,帮我打包,点外卖,送外卖,选堂食,要堂食,订包间,有包间,拿餐具,用餐具,拿筷子,用筷子,上菜了,快上菜,要订座,已订座]"
63,At the Hotel,Act IV: Mastery,"[宾馆,单人间,双人间,订房,预订,入住,退房,押金,热水,前台,服务,客房,前厅,接待,行李员]","[住宾馆,找宾馆,要单人间,订单人间,要双人间,订双人间,要订房,去订房,已预订,要预订,办入住,已入住,要退房,办退房,交押金,退押金,有热水,开热水,去前台,在前台,服务好,要服务,住客房,打扫客房,在前厅,装修前厅,接待处,负责接待,找行李员,叫行李员]","[宾馆,单人间,双人间,订房,预订,入住,退房,押金,热水,前台,服务,客房,前厅,接待,行李员,住宾馆,找宾馆,要单人间,订单人间,要双人间,订双人间,要订房,去订房,已预订,要预订,办入住,已入住,要退房,办退房,交押金,退押金,有热水,开热水,去前台,在前台,服务好,要服务,住客房,打扫客房,在前厅,装修前厅,接待处,负责接待,找行李员,叫行李员]"
64,At the Airport,Act IV: Mastery,"[航班,登机,登机口,登机牌,托运,行李,安检,护照,签证,延误,到达,出发,国际,国内,候机,廊桥]","[查航班,等航班,去登机,准备登机,找登机口,到登机口,拿登机牌,打印登机牌,办托运,要托运,拿行李,取行李,过安检,排队安检,带护照,查护照,办签证,有签证,航班延误,有延误,已到达,准备到达,准备出发,已出发,是国际航班,飞国际,是国内航班,飞国内,在候机,去候机,走廊桥,通过廊桥]","[航班,登机,登机口,登机牌,托运,行李,安检,护照,签证,延误,到达,出发,国际,国内,候机,廊桥,查航班,等航班,去登机,准备登机,找登机口,到登机口,拿登机牌,打印登机牌,办托运,要托运,拿行李,取行李,过安检,排队安检,带护照,查护照,办签证,有签证,航班延误,有延误,已到达,准备到达,准备出发,已出发,是国际航班,飞国际,是国内航班,飞国内,在候机,去候机,走廊桥,通过廊桥]"
65,At the Doctor,Act IV: Mastery,"[诊所,医生,护士,挂号,看病,检查,化验,拍片,不舒服,疼痛,症状,吃药,打针,处方,门诊,急诊]","[去诊所,在诊所,找医生,看医生,找护士,叫护士,去挂号,已挂号,去看病,要看病,做检查,要检查,做化验,去化验,去拍片,要拍片,不舒服啊,哪里不舒服,有疼痛,感到疼痛,有症状,什么症状,要吃药,按时吃药,要打针,去打针,开处方,拿处方,看门诊,挂门诊,看急诊,挂急诊]","[诊所,医生,护士,挂号,看病,检查,化验,拍片,不舒服,疼痛,症状,吃药,打针,处方,门诊,急诊,去诊所,在诊所,找医生,看医生,找护士,叫护士,去挂号,已挂号,去看病,要看病,做检查,要检查,做化验,去化验,去拍片,要拍片,不舒服啊,哪里不舒服,有疼痛,感到疼痛,有症状,什么症状,要吃药,按时吃药,要打针,去打针,开处方,拿处方,看门诊,挂门诊,看急诊,挂急诊]"
66,Making Appointments,Act IV: Mastery,"[预约,下周,改期,确认,等候,排队,叫号,预约号,候诊,就诊,问诊,专家号,普通号,约号]","[要预约,已预约,下周见,等下周,要改期,能改期,确认下,请确认,等候中,请等候,排队中,去排队,叫号了,等叫号,有预约号,拿预约号,候诊中,在候诊,去就诊,准备就诊,问诊中,开始问诊,挂专家号,约专家号,挂普通号,约普通号,去约号,已约号]","[预约,下周,改期,确认,等候,排队,叫号,预约号,候诊,就诊,问诊,专家号,普通号,约号,要预约,已预约,下周见,等下周,要改期,能改期,确认下,请确认,等候中,请等候,排队中,去排队,叫号了,等叫号,有预约号,拿预约号,候诊中,在候诊,去就诊,准备就诊,问诊中,开始问诊,挂专家号,约专家号,挂普通号,约普通号,去约号,已约号]"
67,Weather Conversations,Act IV: Mastery,"[干燥,雨伞,防晒,变天,转凉,转暖,骤降,回暖,入冬,入夏,梅雨,台风,沙尘,雾霾,晴朗,阴沉,闷热]","[很干燥,天气干燥,带雨伞,买雨伞,要防晒,做防晒,要变天,快变天,天气转凉,开始转凉,天气转暖,开始转暖,气温骤降,温度骤降,天气回暖,开始回暖,已入冬,快入冬,已入夏,快入夏,梅雨季,下梅雨,有台风,刮台风,有沙尘,起沙尘,有雾霾,出现雾霾,天气晴朗,很晴朗,天气阴沉,很阴沉,天气闷热,很闷热]","[干燥,雨伞,防晒,变天,转凉,转暖,骤降,回暖,入冬,入夏,梅雨,台风,沙尘,雾霾,晴朗,阴沉,闷热,很干燥,天气干燥,带雨伞,买雨伞,要防晒,做防晒,要变天,快变天,天气转凉,开始转凉,天气转暖,开始转暖,气温骤降,温度骤降,天气回暖,开始回暖,已入冬,快入冬,已入夏,快入夏,梅雨季,下梅雨,有台风,刮台风,有沙尘,起沙尘,有雾霾,出现雾霾,天气晴朗,很晴朗,天气阴沉,很阴沉,天气闷热,很闷热]"
68,Phone Conversations,Act IV: Mastery,"[喂,请问,在吗,不在,稍等,方便,信号,回电,挂断,接电话,打电话,留言,语音,忙线,拨打,接通]","[喂你好,喂请问,请问一下,我想请问,在吗你,你在吗,不在家,人不在,稍等下,请稍等,方便吗,不方便,信号差,没信号,回电话,等回电,挂断了,被挂断,接电话吧,快接电话,打电话吧,去打电话,留言板,请留言,发语音,听语音,忙线中,电话忙线,拨打电话,请拨打,已接通,无法接通]","[喂,请问,在吗,不在,稍等,方便,信号,回电,挂断,接电话,打电话,留言,语音,忙线,拨打,接通,喂你好,喂请问,请问一下,我想请问,在吗你,你在吗,不在家,人不在,稍等下,请稍等,方便吗,不方便,信号差,没信号,回电话,等回电,挂断了,被挂断,接电话吧,快接电话,打电话吧,去打电话,留言板,请留言,发语音,听语音,忙线中,电话忙线,拨打电话,请拨打,已接通,无法接通]"
69,Social Situations,Act IV: Mastery,"[介绍,怎么样,老样子,聚会,联系,保持联系,顺利,朋友,熟人,陌生人,交往,相处,往来,熟悉,亲近,融洽,冷落]","[自我介绍,来介绍,最近怎么样,你怎么样,还是老样子,就老样子,参加聚会,办聚会,联系我,常联系,保持联系吧,要保持联系,很顺利,一切顺利,好朋友,交朋友,是熟人,见到熟人,是陌生人,遇到陌生人,正常交往,互相交往,好相处,容易相处,有往来,经常往来,很熟悉,不熟悉,很亲近,不亲近,很融洽,相处融洽,被冷落,别冷落]","[介绍,怎么样,老样子,聚会,联系,保持联系,顺利,朋友,熟人,陌生人,交往,相处,往来,熟悉,亲近,融洽,冷落,自我介绍,来介绍,最近怎么样,你怎么样,还是老样子,就老样子,参加聚会,办聚会,联系我,常联系,保持联系吧,要保持联系,很顺利,一切顺利,好朋友,交朋友,是熟人,见到熟人,是陌生人,遇到陌生人,正常交往,互相交往,好相处,容易相处,有往来,经常往来,很熟悉,不熟悉,很亲近,不亲近,很融洽,相处融洽,被冷落,别冷落]"
70,Invitations & Offers,Act IV: Mastery,"[邀请,请客,做客,一起,参加,出席,接受,答应,拒绝,婉拒,改天,下次,感谢,客气,不好意思,款待,招待,盛情]","[邀请你,收到邀请,我请客,谁请客,来做客,欢迎做客,一起去,一起吃,参加活动,来参加,出席会议,来出席,接受邀请,愿意接受,答应你,已答应,拒绝了,被拒绝,婉拒了,只好婉拒,改天吧,等改天,下次吧,等下次,感谢你,非常感谢,太客气,别客气,不好意思啊,真不好意思,款待你,感谢款待,招待你,感谢招待,盛情难却,感谢盛情]","[邀请,请客,做客,一起,参加,出席,接受,答应,拒绝,婉拒,改天,下次,感谢,客气,不好意思,款待,招待,盛情,邀请你,收到邀请,我请客,谁请客,来做客,欢迎做客,一起去,一起吃,参加活动,来参加,出席会议,来出席,接受邀请,愿意接受,答应你,已答应,拒绝了,被拒绝,婉拒了,只好婉拒,改天吧,等改天,下次吧,等下次,感谢你,非常感谢,太客气,别客气,不好意思啊,真不好意思,款待你,感谢款待,招待你,感谢招待,盛情难却,感谢盛情]"
71,Agreeing & Disagreeing,Act IV: Mastery,"[同意,赞成,支持,认同,反对,不同意,有道理,没道理,不对,不一定,看情况,妥协,认可,接纳]","[我同意,表示同意,我赞成,表示赞成,我支持,表示支持,我认同,表示认同,我反对,表示反对,我不同意,表示不同意,很有道理,说的有道理,没道理啊,说的没道理,不对吧,这不对,不一定吧,也不一定,看情况吧,要看情况,做妥协,互相妥协,得到认可,获得认可,得到接纳,获得接纳]","[同意,赞成,支持,认同,反对,不同意,有道理,没道理,不对,不一定,看情况,妥协,认可,接纳,我同意,表示同意,我赞成,表示赞成,我支持,表示支持,我认同,表示认同,我反对,表示反对,我不同意,表示不同意,很有道理,说的有道理,没道理啊,说的没道理,不对吧,这不对,不一定吧,也不一定,看情况吧,要看情况,做妥协,互相妥协,得到认可,获得认可,得到接纳,获得接纳]"
72,Expressing Certainty,Act IV: Mastery,"[确定,肯定,一定,绝对,当然,必然,不确定,可能,也许,大概,恐怕,难说,保准,准保,铁定,断定]","[我确定,确定吗,很肯定,不肯定,一定会,一定要,绝对是,绝对不,当然是,当然会,必然会,是必然,不确定啊,还不确定,可能是,有可能,也许吧,也许会,大概是,大概会,恐怕是,恐怕会,难说啊,还难说,保准行,保准没问题,准保成功,准保可以,铁定赢,铁定会,断定是,可以断定]","[确定,肯定,一定,绝对,当然,必然,不确定,可能,也许,大概,恐怕,难说,保准,准保,铁定,断定,我确定,确定吗,很肯定,不肯定,一定会,一定要,绝对是,绝对不,当然是,当然会,必然会,是必然,不确定啊,还不确定,可能是,有可能,也许吧,也许会,大概是,大概会,恐怕是,恐怕会,难说啊,还难说,保准行,保准没问题,准保成功,准保可以,铁定赢,铁定会,断定是,可以断定]"
73,Time Expressions,Act IV: Mastery,"[刚刚,立刻,之前,之后,正在,已经,还没,终于,即时,瞬时,当即,随即,旋即,继而,尔后,此刻]","[刚刚说,刚刚到,立刻去,立刻做,之前说,在之前,之后说,在之后,正在做,正在吃,已经到,已经走,还没到,还没吃,终于到,终于完成,即时通讯,即时更新,瞬时速度,瞬时变化,当即决定,当即回复,随即离开,随即出发,旋即返回,旋即消失,继而发展,继而出现,尔后再说,尔后决定,此刻开始,在此刻]","[刚刚,立刻,之前,之后,正在,已经,还没,终于,即时,瞬时,当即,随即,旋即,继而,尔后,此刻,刚刚说,刚刚到,立刻去,立刻做,之前说,在之前,之后说,在之后,正在做,正在吃,已经到,已经走,还没到,还没吃,终于到,终于完成,即时通讯,即时更新,瞬时速度,瞬时变化,当即决定,当即回复,随即离开,随即出发,旋即返回,旋即消失,继而发展,继而出现,尔后再说,尔后决定,此刻开始,在此刻]"
74,Frequency Expressions,Act IV: Mastery,"[天天,每次,每回,经常,常常,有时,偶尔,很少,难得,从不,从来,总是,一直,第一次,最后一次,日常]","[天天见,天天练,每次都,每次来,每回都,每回说,经常来,经常去,常常想,常常说,有时候,有时会,偶尔来,偶尔想,很少来,很少说,难得来,难得见,从不说,从不去,从来不,从来都,总是说,总是这样,一直都,一直是,第一次来,是第一次,最后一次了,是最后一次,日常生活,日常工作]","[天天,每次,每回,经常,常常,有时,偶尔,很少,难得,从不,从来,总是,一直,第一次,最后一次,日常,天天见,天天练,每次都,每次来,每回都,每回说,经常来,经常去,常常想,常常说,有时候,有时会,偶尔来,偶尔想,很少来,很少说,难得来,难得见,从不说,从不去,从来不,从来都,总是说,总是这样,一直都,一直是,第一次来,是第一次,最后一次了,是最后一次,日常生活,日常工作]"
75,Describing Amounts,Act IV: Mastery,"[很多,许多,大量,一点,一些,足够,不够,刚好,太多,太少,左右,大约,超过,不到,不少]","[很多人,有很多,许多人,有许多,大量的,有大量,一点点,有一点,一些人,有一些,足够了,已足够,不够用,还不够,刚好够,刚好是,太多了,有太多,太少了,有太少,左右吧,十个左右,大约是,大约有,超过了,已超过,不到十,还不到,不少人,有不少]","[很多,许多,大量,一点,一些,足够,不够,刚好,太多,太少,左右,大约,超过,不到,不少,很多人,有很多,许多人,有许多,大量的,有大量,一点点,有一点,一些人,有一些,足够了,已足够,不够用,还不够,刚好够,刚好是,太多了,有太多,太少了,有太少,左右吧,十个左右,大约是,大约有,超过了,已超过,不到十,还不到,不少人,有不少]"
76,Quality Descriptions,Act IV: Mastery,"[正品,假货,山寨,劣质,一流,二流,性价比,值得,不值,耐用,牢固,上乘,低劣,粗糙,精致,精良]","[是正品,买正品,是假货,卖假货,是山寨,山寨货,很劣质,是劣质,一流的,很一流,二流的,是二流,性价比高,看性价比,很值得,值得买,不值得,不值这个价,很耐用,特别耐用,很牢固,特别牢固,上乘品质,品质上乘,很低劣,品质低劣,很粗糙,做工粗糙,很精致,做工精致,很精良,制作精良]","[正品,假货,山寨,劣质,一流,二流,性价比,值得,不值,耐用,牢固,上乘,低劣,粗糙,精致,精良,是正品,买正品,是假货,卖假货,是山寨,山寨货,很劣质,是劣质,一流的,很一流,二流的,是二流,性价比高,看性价比,很值得,值得买,不值得,不值这个价,很耐用,特别耐用,很牢固,特别牢固,上乘品质,品质上乘,很低劣,品质低劣,很粗糙,做工粗糙,很精致,做工精致,很精良,制作精良]"
77,Making Comparisons,Act IV: Mastery,"[比较,更,不如,一样,相同,不同,差不多,相似,区别,优于,胜过,比起,相比,对比,较,略胜]","[比较好,做比较,更好,更大,不如你,不如他,一样的,都一样,相同的,完全相同,不同的,完全不同,差不多吧,都差不多,很相似,非常相似,有区别,没区别,优于他,远优于,胜过他,略胜过,比起你,比起他,相比之下,与之相比,对比一下,进行对比,较好,较大,略胜一筹,稍微略胜]","[比较,更,不如,一样,相同,不同,差不多,相似,区别,优于,胜过,比起,相比,对比,较,略胜,比较好,做比较,更好,更大,不如你,不如他,一样的,都一样,相同的,完全相同,不同的,完全不同,差不多吧,都差不多,很相似,非常相似,有区别,没区别,优于他,远优于,胜过他,略胜过,比起你,比起他,相比之下,与之相比,对比一下,进行对比,较好,较大,略胜一筹,稍微略胜]"
78,Expressing Preferences,Act IV: Mastery,"[喜欢,爱,最爱,偏爱,偏好,讨厌,不喜欢,无所谓,一般,还行,选择,倾向,宁可,宁愿,首选,次选]","[我喜欢,很喜欢,我爱,很爱,我最爱,是最爱,我偏爱,有点偏爱,我的偏好,个人偏好,我讨厌,很讨厌,我不喜欢,有点不喜欢,无所谓啊,我无所谓,一般般,很一般,还行吧,觉得还行,我选择,做选择,我倾向,有倾向,宁可不,我宁可,宁愿走,我宁愿,是首选,我的首选,是次选,作为次选]","[喜欢,爱,最爱,偏爱,偏好,讨厌,不喜欢,无所谓,一般,还行,选择,倾向,宁可,宁愿,首选,次选,我喜欢,很喜欢,我爱,很爱,我最爱,是最爱,我偏爱,有点偏爱,我的偏好,个人偏好,我讨厌,很讨厌,我不喜欢,有点不喜欢,无所谓啊,我无所谓,一般般,很一般,还行吧,觉得还行,我选择,做选择,我倾向,有倾向,宁可不,我宁可,宁愿走,我宁愿,是首选,我的首选,是次选,作为次选]"
79,Giving Reasons,Act IV: Mastery,"[因为,由于,所以,理由,缘故,缘由,解释,说明,根据,基于,鉴于,既然,之所以,根由,归咎,根本原因]","[因为你,是因为,由于天气,由于时间,所以说,所以我,理由是,有理由,缘故是,什么缘故,缘由是,追问缘由,解释下,做解释,说明下,做说明,根据规定,根据情况,基于事实,基于此,鉴于此,鉴于情况,既然如此,既然你,之所以这样,之所以说,根由是,追寻根由,归咎于,不能归咎,根本原因是,找根本原因]","[因为,由于,所以,理由,缘故,缘由,解释,说明,根据,基于,鉴于,既然,之所以,根由,归咎,根本原因,因为你,是因为,由于天气,由于时间,所以说,所以我,理由是,有理由,缘故是,什么缘故,缘由是,追问缘由,解释下,做解释,说明下,做说明,根据规定,根据情况,基于事实,基于此,鉴于此,鉴于情况,既然如此,既然你,之所以这样,之所以说,根由是,追寻根由,归咎于,不能归咎,根本原因是,找根本原因]"
80,Personality Traits,Act V: Refinement,"[性格,开朗,内向,外向,活泼,安静,热情,冷淡,幽默,严肃,温柔,粗暴,耐心,急躁,乐观,悲观,自信]","[性格好,看性格,很开朗,性格开朗,很内向,比较内向,很外向,比较外向,很活泼,性格活泼,很安静,比较安静,很热情,特别热情,很冷淡,态度冷淡,很幽默,特别幽默,很严肃,态度严肃,很温柔,特别温柔,很粗暴,态度粗暴,很耐心,特别耐心,很急躁,比较急躁,很乐观,特别乐观,很悲观,比较悲观,很自信,特别自信]","[性格,开朗,内向,外向,活泼,安静,热情,冷淡,幽默,严肃,温柔,粗暴,耐心,急躁,乐观,悲观,自信,性格好,看性格,很开朗,性格开朗,很内向,比较内向,很外向,比较外向,很活泼,性格活泼,很安静,比较安静,很热情,特别热情,很冷淡,态度冷淡,很幽默,特别幽默,很严肃,态度严肃,很温柔,特别温柔,很粗暴,态度粗暴,很耐心,特别耐心,很急躁,比较急躁,很乐观,特别乐观,很悲观,比较悲观,很自信,特别自信]"
81,Culture & Traditions,Act V: Refinement,"[文化,传统,习俗,风俗,节日,春节,中秋节,端午节,清明节,元宵节,红包,礼物,拜年,团圆,放鞭炮,贴春联]","[中国文化,学文化,传统的,保持传统,习俗是,当地习俗,风俗习惯,本地风俗,过节日,什么节日,过春节,庆祝春节,过中秋节,庆祝中秋节,过端午节,庆祝端午节,过清明节,是清明节,过元宵节,庆祝元宵节,发红包,收红包,送礼物,收礼物,去拜年,拜年好,家人团圆,阖家团圆,放鞭炮吧,去放鞭炮,贴春联吧,去贴春联]","[文化,传统,习俗,风俗,节日,春节,中秋节,端午节,清明节,元宵节,红包,礼物,拜年,团圆,放鞭炮,贴春联,中国文化,学文化,传统的,保持传统,习俗是,当地习俗,风俗习惯,本地风俗,过节日,什么节日,过春节,庆祝春节,过中秋节,庆祝中秋节,过端午节,庆祝端午节,过清明节,是清明节,过元宵节,庆祝元宵节,发红包,收红包,送礼物,收礼物,去拜年,拜年好,家人团圆,阖家团圆,放鞭炮吧,去放鞭炮,贴春联吧,去贴春联]"
82,Chinese Arts & Heritage,Act V: Refinement,"[中国,龙,凤,熊猫,功夫,武术,太极拳,书法,国画,京剧,茶道,中医,针灸,剪纸,刺绣,陶瓷,丝绸]","[去中国,在中国,中国龙,像龙,凤凰,像凤,大熊猫,看熊猫,学功夫,练功夫,学武术,练武术,打太极拳,练太极拳,学书法,练书法,学国画,画国画,看京剧,唱京剧,学茶道,懂茶道,看中医,学中医,做针灸,学针灸,学剪纸,做剪纸,学刺绣,做刺绣,陶瓷品,做陶瓷,丝绸布,买丝绸]","[中国,龙,凤,熊猫,功夫,武术,太极拳,书法,国画,京剧,茶道,中医,针灸,剪纸,刺绣,陶瓷,丝绸,去中国,在中国,中国龙,像龙,凤凰,像凤,大熊猫,看熊猫,学功夫,练功夫,学武术,练武术,打太极拳,练太极拳,学书法,练书法,学国画,画国画,看京剧,唱京剧,学茶道,懂茶道,看中医,学中医,做针灸,学针灸,学剪纸,做剪纸,学刺绣,做刺绣,陶瓷品,做陶瓷,丝绸布,买丝绸]"
83,Time Expressions Advanced,Act V: Refinement,"[随时,及时,按时,暂时,临时,当时,那时,此时,届时,即将,即刻,片刻,瞬间,长期,短期,与此同时]","[随时都可以,随时联系,及时处理,要及时,按时到,要按时,暂时不,暂时的,临时的,是临时,当时说,在当时,那时候,在那时,此时此刻,在此时,届时见,届时通知,即将到来,即将开始,即刻出发,即刻执行,片刻之后,稍等片刻,瞬间消失,就在瞬间,长期的,做长期,短期的,做短期,与此同时说,与此同时做]","[随时,及时,按时,暂时,临时,当时,那时,此时,届时,即将,即刻,片刻,瞬间,长期,短期,与此同时,随时都可以,随时联系,及时处理,要及时,按时到,要按时,暂时不,暂时的,临时的,是临时,当时说,在当时,那时候,在那时,此时此刻,在此时,届时见,届时通知,即将到来,即将开始,即刻出发,即刻执行,片刻之后,稍等片刻,瞬间消失,就在瞬间,长期的,做长期,短期的,做短期,与此同时说,与此同时做]"
84,Frequency & Duration,Act V: Refinement,"[频率,频繁,反复,重复,连续,持续,断断续续,时不时,时常,长久,短暂,永久,一时,整天,整夜,通宵]","[频率高,看频率,很频繁,太频繁,反复做,反复说,重复了,不要重复,连续三天,连续工作,持续发展,持续进行,断断续续的,说的断断续续,时不时的,时不时想起,时常想,时常来,长久之计,不能长久,短暂的,很短暂,永久的,是永久,一时冲动,一时兴起,整天忙,忙整天,整夜工作,忙了整夜,通宵工作,熬了通宵]","[频率,频繁,反复,重复,连续,持续,断断续续,时不时,时常,长久,短暂,永久,一时,整天,整夜,通宵,频率高,看频率,很频繁,太频繁,反复做,反复说,重复了,不要重复,连续三天,连续工作,持续发展,持续进行,断断续续的,说的断断续续,时不时的,时不时想起,时常想,时常来,长久之计,不能长久,短暂的,很短暂,永久的,是永久,一时冲动,一时兴起,整天忙,忙整天,整夜工作,忙了整夜,通宵工作,熬了通宵]"
85,Comparison & Degree,Act V: Refinement,"[相当,极其,尤其,特别,更加,越来越,越发,稀微,略微,差一点,几乎,完全,愈发,极端]","[相当好,相当不错,极其重要,极其困难,尤其是,尤其喜欢,特别好,特别喜欢,更加好,更加努力,越来越好,越来越多,越发觉得,越发明显,稀微不同,稀微差别,略微不同,略微调整,差一点就,差一点成功,几乎是,几乎完成,完全同意,完全不同,愈发严重,愈发觉得,极端情况,太极端]","[相当,极其,尤其,特别,更加,越来越,越发,稀微,略微,差一点,几乎,完全,愈发,极端,相当好,相当不错,极其重要,极其困难,尤其是,尤其喜欢,特别好,特别喜欢,更加好,更加努力,越来越好,越来越多,越发觉得,越发明显,稀微不同,稀微差别,略微不同,略微调整,差一点就,差一点成功,几乎是,几乎完成,完全同意,完全不同,愈发严重,愈发觉得,极端情况,太极端]"
86,Cause & Effect,Act V: Refinement,"[原因,结果,因果,导致,造成,引起,产生,带来,影响,后果,根源,起因,归因于,源于,由此,因而]","[原因是,找原因,结果是,看结果,因果关系,有因果,导致了,会导致,造成了,会造成,引起了,会引起,产生了,会产生,带来了,会带来,影响大,有影响,后果严重,承担后果,根源在,找根源,起因是,查起因,归因于他,可归因于,源于此,源于过去,由此可见,由此产生,因而导致,因而决定]","[原因,结果,因果,导致,造成,引起,产生,带来,影响,后果,根源,起因,归因于,源于,由此,因而,原因是,找原因,结果是,看结果,因果关系,有因果,导致了,会导致,造成了,会造成,引起了,会引起,产生了,会产生,带来了,会带来,影响大,有影响,后果严重,承担后果,根源在,找根源,起因是,查起因,归因于他,可归因于,源于此,源于过去,由此可见,由此产生,因而导致,因而决定]"
87,Conditions & Assumptions,Act V: Refinement,"[如果,假如,假设,假使,万一,除非,只要,只有,否则,不然,要不,虽然,尽管,即使,哪怕,无论]","[如果是,如果说,假如是,假如说,假设是,假设说,假使是,假使如此,万一呢,万一是,除非是,除非你,只要是,只要你,只有你,只有这样,否则会,否则就,不然会,不然就,要不然,要不就,虽然是,虽然说,尽管是,尽管如此,即使是,即使这样,哪怕是,哪怕只有,无论是,无论如何]","[如果,假如,假设,假使,万一,除非,只要,只有,否则,不然,要不,虽然,尽管,即使,哪怕,无论,如果是,如果说,假如是,假如说,假设是,假设说,假使是,假使如此,万一呢,万一是,除非是,除非你,只要是,只要你,只有你,只有这样,否则会,否则就,不然会,不然就,要不然,要不就,虽然是,虽然说,尽管是,尽管如此,即使是,即使这样,哪怕是,哪怕只有,无论是,无论如何]"
88,Conjunctions & Connectors,Act V: Refinement,"[和,与,跟,或者,还是,但是,可是,然而,不过,而且,并且,况且,同时,另外,此外,总之]","[我和你,和他,我与你,与他,我跟你,跟他,或者说,或者是,还是说,还是你,但是呢,但是说,可是呢,可是说,然而呢,然而是,不过呢,不过说,而且是,而且还,并且是,并且还,况且是,况且说,同时也,与此同时,另外还,另外说,此外还,此外是,总之是,总之说]","[和,与,跟,或者,还是,但是,可是,然而,不过,而且,并且,况且,同时,另外,此外,总之,我和你,和他,我与你,与他,我跟你,跟他,或者说,或者是,还是说,还是你,但是呢,但是说,可是呢,可是说,然而呢,然而是,不过呢,不过说,而且是,而且还,并且是,并且还,况且是,况且说,同时也,与此同时,另外还,另外说,此外还,此外是,总之是,总之说]"
89,Modal Particles & Mood,Act V: Refinement,"[吗,吧,呢,啊,呀,哦,嘛,哎,唉,哈,噢,嗯,诶,得了,罢了,而已]","[是吗,好吗,走吧,好吧,你呢,是呢,好啊,对啊,好呀,是呀,哦是,哦好,是嘛,好嘛,哎呀,哎哟,唉声叹气,唉算了,哈哈,哈好,噢原来,噢好的,嗯好,嗯对,诶那个,诶对,得了吧,算得了,罢了吧,算罢了,而已啦,仅此而已]","[吗,吧,呢,啊,呀,哦,嘛,哎,唉,哈,噢,嗯,诶,得了,罢了,而已,是吗,好吗,走吧,好吧,你呢,是呢,好啊,对啊,好呀,是呀,哦是,哦好,是嘛,好嘛,哎呀,哎哟,唉声叹气,唉算了,哈哈,哈好,噢原来,噢好的,嗯好,嗯对,诶那个,诶对,得了吧,算得了,罢了吧,算罢了,而已啦,仅此而已]"
90,Structural Particles,Act V: Refinement,"[的,地,得,了,着,过,起来,下去,出来,进去,上来,下来,回来,过来,过去,开]","[我的,好的,慢慢地,快速地,跑得快,做得好,走了,来了,看着,听着,去过,来过,站起来,跑起来,走下去,说下去,拿出来,走出来,走进去,跑进去,爬上来,走上来,走下来,跑下来,走回来,跑回来,走过来,跑过来,走过去,跑过去,打开,离开]","[的,地,得,了,着,过,起来,下去,出来,进去,上来,下来,回来,过来,过去,开,我的,好的,慢慢地,快速地,跑得快,做得好,走了,来了,看着,听着,去过,来过,站起来,跑起来,走下去,说下去,拿出来,走出来,走进去,跑进去,爬上来,走上来,走下来,跑下来,走回来,跑回来,走过来,跑过来,走过去,跑过去,打开,离开]"
91,Common Sentence Patterns,Act V: Refinement,"[把,被,让,叫,使,比,向,往,从,为,关于,按照,令,朝]","[把它,把这个,被人,被发现,让他,让我,叫他,叫做,使人,使用,比他,比你,向你,向前,往前,往后,从这,从那,为你,为了,关于这,关于他,按照规定,按照计划,令人,令他,朝前,朝着]","[把,被,让,叫,使,比,向,往,从,为,关于,按照,令,朝,把它,把这个,被人,被发现,让他,让我,叫他,叫做,使人,使用,比他,比你,向你,向前,往前,往后,从这,从那,为你,为了,关于这,关于他,按照规定,按照计划,令人,令他,朝前,朝着]"
